mtr_id,kwh_reading,reading_date,rgn_code
M-001,1250.5,2026-03-01,NORTH
M-002,870.2,2026-03-01,NORTH
M-018,,2026-03-01,NORTH
M-003,2100.0,2026-03-01,NORTH
M-021,-45.0,2026-03-01,NORTH
M-004,450.8,2026-03-01,NORTH
M-005,3850.0,2026-03-01,NORTH
M-006,1100.0,2026-03-01,SOUTH
M-007,690.5,2026-03-01,SOUTH
M-019,,2026-03-01,SOUTH
M-008,2900.0,2026-03-01,SOUTH
M-023,12500.0,2026-03-01,SOUTH
M-009,4200.0,2026-03-01,SOUTH
M-010,310.0,2026-03-01,EAST
M-011,1500.0,2026-03-01,EAST
M-020,,2026-03-01,EAST
M-012,780.0,2026-03-01,EAST
M-013,2200.0,2026-03-01,EAST
M-014,950.0,2026-03-01,WEST
M-001,1250.5,2026-03-01,NORTH
M-015,1800.0,2026-03-01,WEST
M-022,-120.0,2026-03-01,WEST
M-016,3100.0,2026-03-01,WEST
M-024,750.0,2026-03-01,NRTH
M-017,560.0,2026-03-01,west
